Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
Conjunto Camiseta Bermuda Kit Verão Moda Menino Infantil Top,4.560936497754971,0.0,0.0,aballa fashion,algodão,Meninos,não definido,25.0,42.98,0.0,0.0,0.0,0.0547389243204529,6,25,1,25.0,0.0009095043201455,0.176443838108231
Kit Agrotoxico Agricola Pulverização Defensivo Jardinagem Ca,4.560936497754971,0.0,5.0,globo,Desconhecido,Sem gênero,não definido,5.0,77.26,0.0,0.0,0.0,0.1131953207598649,334,178,1,5.0,0.0009095043201455,0.0
Roupas Grandes Moda Feminina Bermuda Lycra Plus Size 46 A 60,4.4,34.0,0.0,outras,sarja,Feminino,outono/inverno,100.0,109.9,0.777777777777778,0.003635962979286,0.0,0.1688550867978582,584,138,3,100.0,0.003638017280582,0.0154615734424738
Calça Jeans Feminina Mom Zoe One Com Brilho,4.560936497754971,0.0,0.0,bmix,algodão,Feminino,outono/inverno,1.0,175.9,0.0,0.0,0.0,0.2814024078305651,135,25,3,1.0,0.0004547521600727,0.176443838108231
Casaco Bailarina Ballet Danca Adulto,4.560936497754971,0.0,6.0,artdança,Desconhecido,Feminino,não definido,5.0,65.1,0.0,0.0,0.0163934426229508,0.0924593294908086,55,178,1,5.0,0.0004547521600727,0.0
Roupa Festa Menino Safari Camisa Social Infantil Manga Curta Com Bermuda Social Bolso Embutido Suspensório E Gravata,4.6,38.0,9.0,blue kids,Desconhecido,Bebês,primavera/verão,100.0,165.15,0.8518518518518517,0.004076685764654,0.0655737704918032,0.263070836601753,134,178,7,100.0,0.0004547521600727,0.0
Bermuda Plus Size Tactel Academia Treino Praia Seca Rápido,4.3,7.0,0.0,bermuda shorts plus calção,poliéster,Masculino,primavera/verão,50.0,37.99,0.7407407407407406,0.000661084178052,0.0,0.0462296647454043,122,122,7,50.0,0.0004547521600727,0.1173260572987721
Protetor Bola Para Lavar Sutiã  Roupa Finas Em Máquina 2 Pçs,4.0,2.0,10.0,plasútil,Desconhecido,Feminino,não definido,100.0,29.99,0.6296296296296297,0.000110180696342,0.0819672131147541,0.0325875652262883,611,178,1,100.0,0.0004547521600727,0.0
Blusa T-shirt Roupas Feminino Estampa No Tecido Lisa Cinza,4.560936497754971,0.0,0.0,yasmim,Desconhecido,Feminino,primavera/verão,1.0,32.5,0.0,0.0,0.0,0.0368677739504109,827,178,7,1.0,0.003638017280582,0.0
Calça Cargo Jeans Feminina Jogger Tendência Bolso Lateral,5.0,1.0,10.0,stillger,algodão,Feminino,outono/inverno,5.0,69.91,1.0,0.0,0.0819672131147541,0.1006616418266771,736,25,3,5.0,0.0327421555252387,0.176443838108231
Short Saia Plus Size Jeans Feminino Cintura Alta Com Lycra,4.6,127.0,7.0,menina linda,algodão,Feminino,primavera/verão,500.0,66.3,0.8518518518518517,0.0138827677390921,0.0327868852459016,0.094505644418676,509,25,7,0.0,0.0100045475216007,0.176443838108231
Roupa Térmica Forro Peluciado Blusa Com Calça Frio Neve,4.6,37.0,11.0,neve,Desconhecido,Feminino,outono/inverno,100.0,124.25,0.8518518518518517,0.003966505068312,0.0983606557377049,0.1933256028102725,563,178,3,100.0,0.0013642564802182,0.0
Kit Gorro E Luvas Bordo Em Tricot,4.560936497754971,0.0,0.0,dinho´s baby,Desconhecido,Bebês,não definido,1.0,59.9,0.0,0.0,0.0,0.0835919648033832,232,178,1,1.0,0.0004547521600727,0.0
Kit Conjunto Infantil Do Vasco Da Gama Branco,4.560936497754971,0.0,0.0,a.a.j.sport,Desconhecido,Masculino,não definido,5.0,102.70571283095724,0.0,0.0,0.0,0.0,4,178,1,5.0,0.0027285129604365,0.0
Kit 4 Bermudas Moletom Shorts Masculina Academia Treino,2.5,4.0,0.0,gata rebelde,algodão,Masculino,primavera/verão,50.0,104.99,0.074074074074074,0.000330542089026,0.0,0.1604822482180007,322,25,7,50.0,0.0068212824010914,0.176443838108231
Calça Jeans Wide Leg Plus Size Feminina Pantalona Rasgada,4.560936497754971,0.0,13.0,stillger,algodão,Feminino,outono/inverno,5.0,78.59,0.0,0.0,0.1311475409836065,0.115463319804918,736,25,3,5.0,0.0327421555252387,0.176443838108231
Kit 3 Blusa Feminina Longa Camiseta V Tapa Bumbum Plus Size,4.7,590.0,8.0,básicas brasil,Desconhecido,Feminino,primavera/verão,1000.0,119.39,0.888888888888889,0.0648964301454385,0.0491803278688524,0.1850380273524095,155,178,7,1000.0,0.0004547521600727,0.0
Sutiã Amamentação Reforçado Plie Gestantes Pós Parto,4.560936497754971,0.0,0.0,plié,Desconhecido,Feminino,primavera/verão,50.0,132.9,0.0,0.0,0.0,0.2080761229153166,613,178,7,50.0,0.0004547521600727,0.0
Roupas Femininas Conjunto Brilho Tecido Leve Cinturado Luxo,4.560936497754971,0.0,5.0,sanro,algodão,Feminino,primavera/verão,1.0,139.9,0.0,0.0,0.0,0.2200129599945431,690,25,7,1.0,0.0004547521600727,0.176443838108231
Calça Masculina Branca Primeira Qualidade Trabalho Faculdade,4.560936497754971,0.0,5.0,macaw,sarja,Masculino,outono/inverno,3.0,102.70571283095724,0.0,0.0,0.0,0.0,469,138,3,3.0,0.0009095043201455,0.0154615734424738
Manta Cueiro Bebê - Forrado Em Algodão Antialérgico,4.8,8.0,10.0,nika baby,Desconhecido,Bebês,não definido,100.0,39.91,0.925925925925926,0.000771264874394,0.0819672131147541,0.0495037686299921,568,178,1,100.0,0.003638017280582,0.0
5 Conjunto Infantil Menina 10 Ao 14 Juvenil Premium Barato,4.560936497754971,0.0,0.0,balloon kids,Desconhecido,Meninas,não definido,2.0,154.8,0.0,0.0,0.0,0.2454213703488967,97,178,1,2.0,0.0027285129604365,0.0
Bermuda Térmica Anti Assadura Feminina Shorts Esporte Novo,4.7,40.0,14.0,keeper,microfibra,Feminino,primavera/verão,100.0,48.11,0.888888888888889,0.004297047157338,0.1475409836065573,0.063486920637086,406,101,7,100.0,0.0086402910413824,0.0300136425648021
Lacre De Autenticidade Para Artesanato Tag - Roupa - Rosa,5.0,15.0,0.0,loja nybc,Desconhecido,Não Informado,não definido,100.0,42.97,1.0,0.001542529748788,0.0,0.054721871696054,450,178,1,100.0,0.0004547521600727,0.0
Kit 6 Cuecas Box Boxer Lupo Sem Costura Masculina Microfibra,4.8,325.0,20.0,lupo,microfibra,Masculino,primavera/verão,1000.0,183.88,0.925925925925926,0.0356985456148082,0.2459016393442623,0.2950104021008833,463,101,7,1000.0,0.0422919508867667,0.0300136425648021
Kit Roupa Infantil Calça Jogger Tendência Promoção 3 Peças,4.3,163.0,0.0,própria,bengaline,Meninas,outono/inverno,1000.0,124.9,0.7407407407407406,0.0178492728074041,0.0,0.1944340233962007,633,41,3,1000.0,0.0100045475216007,0.003638017280582
Bermuda Preto Jeans Feminino Cintura Alta Meia Coxa Moda,4.7,3.0,10.0,wreis jeans,algodão,Feminino,primavera/verão,25.0,39.91,0.888888888888889,0.000220361392684,0.0819672131147541,0.0495037686299921,825,25,7,25.0,0.0040927694406548,0.176443838108231
Conjunto Roupa Menino Bebê Batizado Casamento  Com Sapato,4.8,215.0,6.0,poderoso baby moda acessórios,Desconhecido,Bebês,não definido,1000.0,198.12,0.925925925925926,0.0235786690171881,0.0163934426229508,0.3192933392449097,615,178,1,1000.0,0.0045475216007276,0.0
Conjunto Cropped Short Saia Estilo Sal E Pimenta Luxxo,4.560936497754971,0.0,0.0,ivanhelen2020modas,Desconhecido,Feminino,não definido,1.0,74.5,0.0,0.0,0.0,0.1084887964257699,381,178,1,1.0,0.0004547521600727,0.0
Viseira Para Corrida Hupi My Life,4.8,8.0,0.0,hupi,Desconhecido,Feminino,não definido,50.0,79.9,0.925925925925926,0.000771264874394,0.0,0.1176972136011732,358,178,1,50.0,0.0013642564802182,0.0
Kit 3 Bermuda Short Academia Fitness Feminino Tecido Térmico,4.0,1.0,14.0,keeper,microfibra,Feminino,primavera/verão,5.0,139.37,0.6296296296296297,0.0,0.1475409836065573,0.2191091709014017,406,101,7,5.0,0.0086402910413824,0.0300136425648021
Kit 2 Calça Moletom Infantil Menina Roupa Criança Lançamento,4.560936497754971,0.0,18.0,colbacho,algodão,Meninas,outono/inverno,1.0,42.01,0.0,0.0,0.2131147540983606,0.0530848197537601,192,25,3,1.0,0.0054570259208731,0.176443838108231
Faixa De Cabelo Headband Alto Giro Silicone Interno Academia,4.560936497754971,0.0,0.0,alto giro,Desconhecido,Feminino,não definido,3.0,29.9,0.0,0.0,0.0,0.0324340916066982,29,178,1,3.0,0.0004547521600727,0.0
Kit 35 Enxoval Maternidade Bebê Roupa Macacão Menino Menina,4.9,10.0,10.0,baby greg,Desconhecido,Bebês,não definido,100.0,219.99,0.9629629629629632,0.000991626267078,0.0819672131147541,0.3565874288052931,85,178,1,100.0,0.0004547521600727,0.0
Kit 6 Shortinho Coloridos Tactel Liso Feminino Short Fitness,4.560936497754971,0.0,0.0,relaxado,poliéster,Feminino,primavera/verão,4.0,194.99,0.0,0.0,0.0,0.3139558678080557,650,122,7,4.0,0.0118235561618917,0.1173260572987721
Calça Jeans Wide Leg Clara Sem Detalhes.,4.560936497754971,0.0,0.0,ninas boutique,algodão orgânico,Feminino,outono/inverno,4.0,78.9,0.0,0.0,0.0,0.1159919511612837,570,33,3,4.0,0.0009095043201455,0.0045475216007276
Roupa Sharkboy Filme Pequenos Grandes Herói Fantasia+máscara,4.3,3.0,0.0,fantasias carol ef,Desconhecido,Meninos,não definido,50.0,150.88,0.7407407407407406,0.000220361392684,0.0,0.2387367415845298,289,178,1,50.0,0.0013642564802182,0.0
Kit 10 Cabide Triplica Armário Organizador Roupas Cintos,3.8,4.0,0.0,grupo shopmix,Desconhecido,Sem gênero,não definido,25.0,94.9,0.5555555555555555,0.000330542089026,0.0,0.1432761501995157,343,178,1,25.0,0.0009095043201455,0.0
Kit 3 Roupas Femininas Shorts Jeans Cós Alto,4.5,271.0,0.0,mr jeans,jeans,Feminino,primavera/verão,1000.0,139.9,0.8148148148148148,0.0297487880123402,0.0,0.2200129599945431,540,75,7,1000.0,0.0086402910413824,0.0300136425648021
Roupa De Academia Feminino Blusa Dry Plus Size Kit 3,4.6,262.0,0.0,corpusfit,poliéster,Feminino,não definido,1000.0,100.9,0.8518518518518517,0.0287571617452622,0.0,0.1535077248388527,207,122,1,1000.0,0.0009095043201455,0.1173260572987721
Kit 5 Conjunto Infantil Regata Menino - Super Heróis,4.560936497754971,0.0,0.0,conjunto infantil masculino,Desconhecido,Meninos,não definido,5.0,135.63,0.0,0.0,0.0,0.212731489376215,200,178,1,5.0,0.0004547521600727,0.0
Calça Jeans Wide Leg Clara Sem Detalhes.,4.7,6.0,0.0,ninas boutique,algodão orgânico,Feminino,outono/inverno,25.0,109.99,0.888888888888889,0.00055090348171,0.0,0.1690085604174482,570,33,3,25.0,0.0009095043201455,0.0045475216007276
Bermuda Com Sunga Interna 7  Masculina Oxer Strong,4.560936497754971,0.0,0.0,oxer,poliéster,Masculino,outono/inverno,1.0,81.99,0.0,0.0,0.0,0.1212612121005422,588,122,3,1.0,0.001819008640291,0.1173260572987721
Cueiro Com Velcro Carro 100% Algodão,4.7,21.0,0.0,swaddle,Desconhecido,Bebês,não definido,100.0,99.6,0.888888888888889,0.00220361392684,0.0,0.1512908836669963,743,178,1,100.0,0.0004547521600727,0.0
Kit 3 Conjuntos Plus Size De Senhora Liganete Malha Fria,4.560936497754971,0.0,0.0,sem marca,Desconhecido,Feminino,não definido,5.0,102.70571283095724,0.0,0.0,0.0,0.0,699,178,1,5.0,0.0013642564802182,0.0
Short Jeans Plus Size Feminino Cintura Alta Com Lycra Curto,4.2,9.0,8.0,menina linda,algodão,Feminino,primavera/verão,25.0,59.1,0.7037037037037038,0.000881445570736,0.0491803278688524,0.0822277548514716,509,25,7,25.0,0.0100045475216007,0.176443838108231
Calça Wide Leg Moletom Peluciada Preto,4.560936497754971,0.0,0.0,larel,algodão,Feminino,outono/inverno,5.0,69.9,0.0,0.0,0.0,0.1006445892022782,428,25,3,5.0,0.0031832651205093,0.176443838108231
Roupa Térmica Infantil Blusa+calça Brinde Meia Térmica+luva,4.5,26.0,5.0,zero grau,Desconhecido,Sem gênero infantil,não definido,100.0,78.03,0.8148148148148148,0.00275451740855,0.0,0.1145083728385798,835,178,1,100.0,0.0009095043201455,0.0
Kit 2 Calcinha Ou Cueca De Desfralde Menino Menina G 15-18kg,3.8,4.0,0.0,baby fraldas,Desconhecido,Bebês,não definido,100.0,102.70571283095724,0.5555555555555555,0.000330542089026,0.0,0.0,84,178,1,100.0,0.0004547521600727,0.0
Kit 3 Bermudas Fitness Roupas Femininas Com Tapa Bumbum B05,5.0,7.0,36.0,própria,suplex poliéster,Feminino,primavera/verão,25.0,116.81,1.0,0.000661084178052,0.5081967213114754,0.1806384502574946,633,154,7,25.0,0.0100045475216007,0.0031832651205093
Conjunto Calça E Blusa Térmica Inverno Uv Segunda Pele,4.560936497754971,0.0,0.0,mood modas,92% poliéster 8% elastano,Masculino,outono/inverno,5.0,69.2,0.0,0.0,0.0,0.0994509054943555,534,15,3,5.0,0.0004547521600727,0.0013642564802182
Kit Casal 2 Short Bermudas Tactel My Love Namorados Iguais,4.560936497754971,0.0,0.0,relaxado,poliéster,Sem gênero,primavera/verão,2.0,69.99,0.0,0.0,0.0,0.1007980628218682,650,122,7,2.0,0.0118235561618917,0.1173260572987721
Macacão Fivela Academia Fitness Empina Bumbum,5.0,14.0,0.0,exclusiva fitness,Desconhecido,Feminino,não definido,50.0,199.9,1.0,0.001432349052446,0.0,0.3223287063879131,278,178,1,50.0,0.0004547521600727,0.0
Óculos De Sol Buba Bebê Infantil Com Proteção Uva E Uvb,4.560936497754971,0.0,0.0,buba,Desconhecido,Bebês,não definido,50.0,59.89,0.0,0.0,0.0,0.0835749121789843,150,178,1,50.0,0.0045475216007276,0.0
Farda Tática Socorrista - Manga Longa - Cruz Da Vida,5.0,4.0,0.0,couro art,Desconhecido,Não Informado,não definido,25.0,102.70571283095724,1.0,0.000330542089026,0.0,0.0,208,178,1,25.0,0.0009095043201455,0.0
Kit Dois Shorts Casal Estampados Namorados Moda Praia,4.560936497754971,0.0,8.0,maya,tactel,Sem gênero,primavera/verão,5.0,129.59,0.0,0.0,0.0491803278688524,0.2024317042392824,500,155,7,5.0,0.0009095043201455,0.0045475216007276
Calça Jeans Feminina Boot Cut Índigo Sawary,4.5,318.0,17.0,sawary,algodão,Feminino,primavera/verão,1000.0,144.99,0.8148148148148148,0.0349272807404142,0.1967213114754098,0.2286927458135807,692,25,7,1000.0,0.0068212824010914,0.176443838108231
Fita Dupla Face Para Levantar Peito E Segurar Roupa Decotada,4.5,87.0,46.0,esquarcio import fashion tape,Desconhecido,Sem gênero,não definido,1000.0,71.87,0.8148148148148148,0.009475539885412,0.6721311475409837,0.1040039562088605,269,178,1,1000.0,0.0022737608003638,0.0
